year_month,state,total_enrolment,age_0_5,age_5_17,age_18_greater,total_updates,demo_age_5_17,demo_age_17_
2025-03,Gujarat,4199,3038,990,171,35850,3789,32061
2025-03,Haryana,1572,1441,122,9,17990,2162,15828
2025-03,Himachal Pradesh,282,270,6,6,3185,533,2652
2025-03,Jammu & Kashmir,1,1,0,0,10,1,9
2025-03,Jammu and Kashmir,681,528,149,4,5734,823,4911
2025-03,Jharkhand,1966,1208,744,14,24817,2333,22484
2025-03,Karnataka,3823,2999,625,199,31788,4264,27524
2025-03,Kerala,1534,959,513,62,20973,1788,19185
2025-03,Ladakh,6,4,2,0,110,23,87
2025-03,Lakshadweep,5,5,0,0,46,5,41
2025-03,Madhya Pradesh,8398,6207,2078,113,48091,7046,41045
2025-03,Maharashtra,6806,5121,1580,105,146356,7753,138603
2025-03,Manipur,212,79,131,2,9427,1245,8182
2025-03,Meghalaya,908,156,316,436,2258,231,2027
2025-03,Mizoram,85,57,24,4,812,94,718
2025-03,Nagaland,168,51,106,11,1137,96,1041
2025-03,Odisha,2957,2371,560,26,26436,4022,22414
2025-03,Orissa,80,71,9,0,983,71,912
2025-03,Pondicherry,45,44,1,0,270,24,246
2025-03,Puducherry,65,58,4,3,597,94,503
2025-03,Punjab,1133,903,190,40,16877,952,15925
2025-03,Rajasthan,7058,4958,2058,42,41005,5253,35752
2025-03,Sikkim,57,18,35,4,699,57,642
2025-03,Tamil Nadu,7931,6398,1522,11,50302,9036,41266
2025-03,Telangana,3639,2937,666,36,31266,4285,26981
2025-03,Tripura,310,196,112,2,3024,316,2708
2025-03,Uttar Pradesh,18994,8932,9813,249,145144,16213,128931
2025-03,Uttarakhand,814,694,116,4,6122,743,5379
2025-03,West Bangal,1,1,0,0,10,1,9
2025-03,West Bengal,8973,6656,2245,72,75579,4687,70892
2025-04,Andaman & Nicobar Islands,5,5,0,0,55,0,55
2025-04,Andaman and Nicobar Islands,12,11,1,0,130,12,118
2025-04,Andhra Pradesh,1886,1640,225,21,46690,6463,40227
2025-04,Arunachal Pradesh,109,56,53,0,1130,175,955
2025-04,Assam,2894,2059,794,41,26151,2299,23852
2025-04,Bihar,6230,2580,3606,44,138082,9412,128670
2025-04,Chandigarh,34,29,4,1,905,119,786
2025-04,Chhattisgarh,1038,830,192,16,33878,2901,30977
2025-04,Dadra and Nagar Haveli,7,6,1,0,147,40,107
2025-04,Dadra and Nagar Haveli and Daman and Diu,3,1,2,0,66,1,65
2025-04,Daman & Diu,1,1,0,0,18,1,17
2025-04,Delhi,936,703,225,8,13427,1416,12011
2025-04,Goa,39,32,5,2,994,74,920
2025-04,Gujarat,2400,1648,662,90,34321,3224,31097
2025-04,Haryana,824,741,82,1,14803,1681,13122
2025-04,Himachal Pradesh,135,123,12,0,3225,366,2859
2025-04,Jammu & Kashmir,3,2,1,0,21,0,21
2025-04,Jammu and Kashmir,452,363,88,1,6024,822,5202
2025-04,Jharkhand,1239,769,461,9,25236,2143,23093
2025-04,Karnataka,2951,2433,461,57,31995,3876,28119
2025-04,Kerala,280,178,101,1,19667,1393,18274
2025-04,Ladakh,10,7,1,2,87,12,75
2025-04,Lakshadweep,2,2,0,0,24,2,22
2025-04,Madhya Pradesh,5830,4237,1549,44,45620,5984,39636
2025-04,Maharashtra,4594,3314,1223,57,155322,6367,148955
2025-04,Manipur,171,55,114,2,8789,1147,7642
2025-04,Meghalaya,496,94,237,165,1980,213,1767
2025-04,Mizoram,52,38,14,0,700,83,617
2025-04,Nagaland,99,30,63,6,897,106,791
2025-04,Odisha,2552,2041,506,5,22052,2952,19100
2025-04,Orissa,90,81,9,0,1124,57,1067
2025-04,Pondicherry,42,40,2,0,299,26,273
2025-04,Puducherry,23,19,3,1,569,103,466
2025-04,Punjab,736,621,102,13,14664,886,13778
2025-04,Rajasthan,5228,3681,1522,25,37378,3955,33423
2025-04,Sikkim,51,27,20,4,560,47,513
2025-04,Tamil Nadu,2763,2313,448,2,56732,10895,45837
2025-04,Telangana,2388,1857,525,6,33148,4842,28306
2025-04,Tripura,195,124,71,0,3405,323,3082
2025-04,Uttar Pradesh,13149,6145,6878,126,173203,19299,153904
2025-04,Uttarakhand,476,401,74,1,7265,707,6558
2025-04,West  Bengal,1,1,0,0,3,0,3
2025-04,West Bengal,5930,4455,1391,84,96543,5564,90979
2025-05,Andaman & Nicobar Islands,2,2,0,0,34,1,33
2025-05,Andaman and Nicobar Islands,7,7,0,0,104,13,91
2025-05,Andhra Pradesh,3364,3024,315,25,28210,5440,22770
2025-05,Arunachal Pradesh,122,71,51,0,779,139,640
2025-05,Assam,4606,3347,1201,58,19304,1730,17574
2025-05,Bihar,12048,5376,6569,103,99051,6664,92387
2025-05,Chandigarh,78,74,4,0,470,55,415
2025-05,Chhattisgarh,2334,1860,460,14,15755,1664,14091
2025-05,Dadra & Nagar Haveli,1,0,1,0,8,1,7
2025-05,Dadra and Nagar Haveli,4,4,0,0,77,36,41
2025-05,Dadra and Nagar Haveli and Daman and Diu,1,0,0,1,74,2,72
2025-05,Daman and Diu,1,1,0,0,15,3,12
2025-05,Delhi,1147,862,273,12,8171,862,7309
2025-05,Goa,78,58,11,9,680,75,605
2025-05,Gujarat,1885,1468,399,18,19838,2200,17638
2025-05,Haryana,2394,2188,193,13,12233,1522,10711
2025-05,Himachal Pradesh,507,494,12,1,2707,326,2381
