year_month,state,total_enrolment,age_0_5,age_5_17,age_18_greater,total_updates,demo_age_5_17,demo_age_17_
2025-11,Nagaland,132,35,91,6,787,84,703
2025-11,Odisha,3594,2876,712,6,22211,3251,18960
2025-11,Orissa,101,82,19,0,906,73,833
2025-11,Pondicherry,36,35,1,0,237,22,215
2025-11,Puducherry,39,36,2,1,598,140,458
2025-11,Punjab,1842,1584,212,46,14885,865,14020
2025-11,Rajasthan,8555,5530,2994,31,39309,4758,34551
2025-11,Sikkim,39,16,22,1,554,35,519
2025-11,Tamil Nadu,5720,4707,1003,10,45338,6947,38391
2025-11,Telangana,3322,2700,605,17,22414,3049,19365
2025-11,Tripura,310,182,124,4,2398,228,2170
2025-11,Uttar Pradesh,18616,8834,9566,216,149461,16565,132896
2025-11,Uttarakhand,939,819,116,4,7721,872,6849
2025-11,West  Bengal,1,1,0,0,2,0,2
2025-11,West Bangal,2,1,1,0,2,0,2
2025-11,West Bengal,9306,7019,2200,87,89445,5241,84204
2025-12,Andaman & Nicobar Islands,2,2,0,0,36,0,36
2025-12,Andaman and Nicobar Islands,8,8,0,0,150,12,138
2025-12,Andhra Pradesh,3060,2651,388,21,37744,4551,33193
2025-12,Arunachal Pradesh,111,42,66,3,904,182,722
2025-12,Assam,3242,1910,898,434,15676,1437,14239
2025-12,Bihar,11312,4548,6660,104,95305,6990,88315
2025-12,Chandigarh,52,47,4,1,771,73,698
2025-12,Chhattisgarh,2496,1988,490,18,32525,2680,29845
2025-12,Dadra and Nagar Haveli,31,28,2,1,105,23,82
2025-12,Dadra and Nagar Haveli and Daman and Diu,6,4,1,1,125,15,110
2025-12,Daman & Diu,2,2,0,0,23,1,22
2025-12,Daman and Diu,4,4,0,0,60,9,51
2025-12,Delhi,1470,1123,318,29,12239,1314,10925
2025-12,Goa,75,63,8,4,972,64,908
2025-12,Gujarat,6070,4569,1321,180,39332,3850,35482
2025-12,Haryana,1861,1664,166,31,16693,1775,14918
2025-12,Himachal Pradesh,402,384,14,4,4259,526,3733
2025-12,Jammu & Kashmir,4,3,1,0,14,0,14
2025-12,Jammu and Kashmir,509,410,96,3,6147,742,5405
2025-12,Jharkhand,3772,2304,1460,8,33667,2929,30738
2025-12,Karnataka,4399,3594,628,177,34353,3881,30472
2025-12,Kerala,1764,1277,450,37,22736,1653,21083
2025-12,Ladakh,15,13,2,0,106,16,90
2025-12,Lakshadweep,4,4,0,0,28,4,24
2025-12,Madhya Pradesh,11120,8435,2414,271,50798,6454,44344
2025-12,Maharashtra,8288,6032,2087,169,194035,7792,186243
2025-12,Manipur,213,93,116,4,9945,1362,8583
2025-12,Meghalaya,1083,189,435,459,1931,205,1726
2025-12,Mizoram,112,77,29,6,688,74,614
2025-12,Nagaland,202,61,124,17,923,83,840
2025-12,Odisha,3283,2570,692,21,24197,3266,20931
2025-12,Orissa,111,90,21,0,995,67,928
2025-12,Pondicherry,53,48,5,0,258,12,246
2025-12,Puducherry,64,60,4,0,669,113,556
2025-12,Punjab,1527,1255,230,42,18887,1030,17857
2025-12,Rajasthan,9882,6173,3184,525,49715,6049,43666
2025-12,Sikkim,47,24,22,1,651,40,611
2025-12,Tamil Nadu,5987,4920,1061,6,55378,8066,47312
2025-12,Telangana,3819,3060,737,22,38465,4882,33583
2025-12,Tripura,321,196,95,30,4134,380,3754
2025-12,Uttar Pradesh,20878,9824,10767,287,221405,23575,197830
2025-12,Uttarakhand,818,670,145,3,9449,1034,8415
2025-12,West  Bengal,1,1,0,0,4,0,4
2025-12,West Bengal,8683,6419,2182,82,108617,6359,102258
2025-12,Westbengal,1,0,1,0,5,0,5
